




[-176.51832423],[-23.23495782],[17.55906575]
[-179.85883585],[-23.65259608],[18.55247121]
[-176.55548365],[-24.15809117],[17.67941752]
[-177.26896143],[-25.23584519],[17.62777676]
[179.61454417],[-24.03024756],[18.22433747]
[179.41809043],[-24.64392375],[18.08678113]
[178.4634219],[-23.80859349],[18.24076271]
[178.58795252],[-22.88500758],[20.20321075]
[-179.60422377],[-22.66611601],[19.64158771]
[179.6154505],[-21.37921774],[18.26090395]
[178.99404636],[-26.15493641],[18.18834975]
[179.39820685],[-23.48948773],[18.9359752]
[-179.00900517],[-25.71466091],[18.35651001]
[179.20301519],[-24.54172328],[19.08929218]
[179.61266143],[-24.6093347],[19.68061616]
[178.1875748],[-24.91460067],[18.6648838]
[179.05827716],[-24.91989289],[19.00222825]
[176.75321971],[-24.58437459],[19.02444075]
[178.26335883],[-28.25356155],[19.12116741]
[178.78338034],[-26.46741073],[18.78347672]
[-178.85001946],[-25.76206235],[18.86991785]
[177.19811776],[-24.75346105],[18.99152356]
[-179.54434972],[-25.89975194],[18.08026565]
[178.84708655],[-26.18824232],[17.56627903]
[179.07330406],[-23.90658106],[18.25720344]
[177.18813345],[-24.65993876],[18.37478052]
[179.19123698],[-25.89201213],[18.03104378]
[177.98960191],[-26.44120451],[18.29975061]
[177.6416046],[-28.02716281],[18.23053443]
[179.84316965],[-26.70790562],[17.0987698]
[178.6206553],[-27.992648],[17.60041859]
[179.25696115],[-26.37266288],[16.59387758]
[179.39147953],[-27.2148698],[16.23275942]
[-179.35273916],[-27.96284174],[16.21139351]
[177.46106303],[-26.01894492],[16.57942616]
[178.67989669],[-24.39337098],[16.48418029]
[178.74321687],[-23.91933431],[16.88900629]
[178.94924975],[-22.85097546],[17.76438962]
[177.39848097],[-20.77257301],[17.93717228]
[177.04428178],[-24.66800872],[17.52886547]
[-179.94439692],[-25.98503174],[16.94352217]
[179.63042179],[-23.11326173],[18.30287767]
[179.22974066],[-22.293745],[18.54472505]
[179.86109109],[-23.89514993],[18.96271601]
[178.22269189],[-23.0844481],[19.51734953]
[178.03416038],[-23.64229711],[20.1375781]
[177.46930678],[-25.1672114],[20.54685439]
[179.82804367],[-26.85468265],[19.64831008]
[177.14249164],[-25.57852797],[20.18490028]
[179.93454866],[-24.59061609],[19.49785135]
[178.58873711],[-26.39860519],[19.90909511]
[-175.78264779],[-26.80134375],[18.60156167]
[178.6662774],[-25.49732606],[19.65737673]
[178.59774336],[-24.04750893],[19.99813948]
[179.64222228],[-24.96096514],[19.0676092]
[178.78714607],[-27.84903805],[20.03967213]
[179.02452246],[-26.99008054],[20.14689838]
[178.41031139],[-28.87407147],[20.05388704]
