[178.34870057],[-16.78946075],[-8.22860798]
[176.18686173],[-17.22820396],[-8.09299119]
[175.41783508],[-18.67003685],[-8.17217761]
[176.28651104],[-17.89014418],[-8.43670862]
[175.21563335],[-19.36379318],[-8.53556487]
[174.04844395],[-15.65923809],[-7.87583479]
[176.2145021],[-18.07529733],[-8.13910218]
[176.52543187],[-16.97213132],[-8.51180237]
[177.27904523],[-11.79153098],[-8.55635822]
[178.08117312],[-13.05186285],[-8.13956837]
[-178.22219793],[-12.56555323],[-8.85692556]
[-177.20228045],[-7.58642509],[-10.03418909]
[-175.69258506],[-7.65651489],[-10.38036059]
[-174.83845127],[-8.65200471],[-10.63831528]
[-176.28082292],[-11.01255386],[-10.5536567]
[-176.71533377],[-12.07728033],[-10.93136064]
[-178.20057571],[-15.31553043],[-10.49043339]
[-179.24279174],[-11.95775289],[-10.82326078]
[179.50604907],[-13.55287136],[-10.12068268]
[179.07942848],[-14.98125452],[-10.39845202]
[177.76630098],[-15.7449815],[-10.80028859]
[175.85463334],[-17.2643512],[-9.79530235]
[177.9564812],[-20.30390907],[-9.48324027]
[177.73708174],[-19.72317169],[-9.54179302]
[175.71185459],[-16.80932313],[-10.92522698]
[176.66702063],[-16.81561283],[-9.98613955]
[176.45947165],[-17.78299727],[-10.03752783]
[176.79633855],[-19.02531838],[-9.93854431]
[176.45632074],[-18.33911852],[-9.37814437]
[175.58205199],[-18.35712517],[-9.67545421]
[175.79866601],[-20.22691406],[-9.65524067]
[175.35866396],[-18.27191543],[-8.86708967]
[175.35564479],[-18.1359219],[-8.48144305]
[176.631204],[-20.16896279],[-8.87904215]
[176.63308291],[-20.6076933],[-8.83676357]
[175.23032658],[-18.24618931],[-8.97037702]
[175.86775309],[-19.29496389],[-8.85555864]
[175.33287584],[-18.60129814],[-9.00690923]
[176.08288024],[-19.59849909],[-8.28565175]
[175.20807468],[-18.62905788],[-8.36119321]
[176.06412792],[-19.59299044],[-8.23907901]
[174.47149142],[-19.96434847],[-8.19641572]
[175.25197363],[-21.13465493],[-7.86948308]
[174.5537224],[-20.09073633],[-8.05636665]
[174.99823228],[-20.05235236],[-7.98356313]
[173.51493113],[-19.69460281],[-7.07155156]
[171.71755299],[-20.41141844],[-6.02746464]
[173.75890457],[-20.2007465],[-6.74223993]
[173.6928757],[-18.68951317],[-7.35633927]
[172.9510859],[-18.77066012],[-6.5106312]
[174.22154456],[-18.00889552],[-7.10689208]
[173.02945095],[-18.29878113],[-6.29498641]
[173.7810179],[-14.29257336],[-6.9361162]
[174.90689468],[-13.88167421],[-6.49682852]
[174.44737223],[-12.5214142],[-7.20386267]
[175.51340628],[-13.18631025],[-6.76412967]
[177.34276382],[-15.0979357],[-6.90340428]
[174.57282629],[-15.83886398],[-5.83289552]
[175.95947227],[-14.35486071],[-6.06675784]
[173.75132275],[-13.40501232],[-6.04137386]
[176.78920879],[-16.87729194],[-6.79754318]
[175.65553186],[-18.41060163],[-6.02707826]
[175.39618485],[-15.99081965],[-5.39291048]
[175.80216977],[-17.10946571],[-5.97970448]
[175.98685472],[-19.39301644],[-5.7514507]
[175.15486057],[-18.83444269],[-5.18054024]
[176.92501951],[-16.82616987],[-5.69718871]
[179.7904518],[-17.790748],[-6.00289529]
[179.23441805],[-14.84193911],[-5.69937713]
[179.01928027],[-15.80325998],[-5.72800273]
[178.93737223],[-18.77589815],[-4.22416262]
[178.66133015],[-15.82289382],[-5.67710956]
[178.82694557],[-16.44572027],[-5.62273633]
[178.89638977],[-14.86463325],[-5.57676542]
[-179.49154642],[-18.36413923],[-5.13652255]
[175.65379693],[-15.23651404],[-4.47191951]
[175.84064262],[-17.7719758],[-4.58787324]
[174.88331413],[-17.89272233],[-4.32726404]
[175.43468756],[-17.3500696],[-5.02171223]
[171.34576989],[-18.60322056],[-3.7002853]
[171.91403908],[-18.40072492],[-4.34443935]
[171.37065878],[-19.08418557],[-3.91610369]
[170.95935474],[-16.91216293],[-3.92189016]
[172.45563335],[-17.75100558],[-4.12290697]
[175.07623687],[-17.515168],[-4.77089861]
[176.94849395],[-20.04702312],[-4.37901579]
