
[173.05797234],[-15.63630098],[1.66103652]
[172.92930021],[-14.87590284],[1.0443769]
[172.19803676],[-16.17008236],[0.12268128]
[172.76193039],[-13.63967074],[0.50368249]
[173.19842034],[-14.81305175],[0.20055654]
[173.39480553],[-17.0997954],[0.74172175]
[173.56326182],[-15.09567938],[0.00644145]
[172.42132493],[-13.25889121],[0.1932378]
[172.76057904],[-14.17954433],[0.12997394]
[172.94753976],[-12.24366397],[-0.33813668]
[173.29314247],[-11.53008065],[-0.52743441]
[172.31800845],[-11.80448028],[0.42593272]
[172.2086335],[-15.74999261],[0.6938389]
[171.24592882],[-11.02605489],[0.8383631]
[171.68515009],[-15.72335092],[1.37961525]
[172.78150803],[-15.31546485],[1.18569395]
[172.04967708],[-15.36149184],[0.93312679]
[172.48944559],[-13.58614573],[1.24917716]
[173.07633428],[-17.34921547],[1.77971083]
[172.32719775],[-15.61901374],[1.60539745]
[171.10202082],[-16.48987512],[2.26796423]
[171.91419815],[-17.36809263],[2.99845824]
[173.34010555],[-15.28631947],[2.65285629]
[172.93272889],[-16.07019177],[2.95178278]
[172.565725],[-15.40276479],[3.7240256]
[171.24695118],[-15.31819505],[4.66571899]
[172.28695177],[-14.90705688],[4.22336416]
[173.02228255],[-18.74441738],[4.21170146]
[172.65906698],[-17.07665011],[4.32276959]
[174.07524049],[-20.17695075],[4.43263245]
[171.58781868],[-19.00573133],[6.12934527]
[173.97498347],[-19.35527175],[5.16393067]
[173.92520872],[-17.90410631],[4.45288568]
[172.90264254],[-17.99449897],[5.47741008]
[172.34912531],[-20.43437981],[5.74046175]
[174.21009461],[-17.18442139],[4.2841771]
[173.73227945],[-16.69830943],[5.18215856]
[174.05678923],[-16.30707858],[5.22229969]
[174.57517214],[-16.44881668],[4.82863738]
[173.01644391],[-15.29604066],[5.13030827]
[172.9113121],[-15.85402772],[4.65780818]
[173.30149368],[-17.64626157],[4.78676894]
[173.06268691],[-18.78531421],[5.24813398]
[173.61013429],[-20.04245304],[4.7798539]
[173.39534575],[-20.00454464],[4.8551521]
[173.10417992],[-19.06557848],[4.9675712]
[173.32611492],[-19.2404915],[5.10321682]
[174.10883881],[-20.02891435],[4.82269244]
[173.20244281],[-20.45677548],[5.05505486]
[174.19228493],[-18.87323648],[5.15050461]
[173.23974105],[-18.98489671],[5.25524633]
[173.71249061],[-21.12369145],[5.39584924]
[174.29632316],[-20.32202219],[4.59824596]
[173.17490141],[-19.72513848],[5.17510386]
[172.53528555],[-17.25505021],[5.24794719]
[173.61619267],[-18.12701659],[4.90206221]
[174.80364878],[-19.74036151],[4.8155082]
[174.87453893],[-20.17668963],[5.21024588]
[176.33601992],[-21.42564375],[4.87409454]
[174.60490166],[-21.26342858],[5.56446731]
[173.60697619],[-20.34414538],[6.03353487]
[174.01235451],[-22.12330677],[5.86937831]
[175.41659531],[-20.60932877],[5.96278508]
[175.03449678],[-21.71630203],[5.97376925]
[174.50310917],[-20.0390254],[6.197965]
[174.87879773],[-20.92173134],[6.04759748]
[175.03207059],[-21.50722072],[6.41679174]
[175.43219083],[-20.44795146],[5.80586047]
[174.7633069],[-20.79942411],[6.4549748]
[173.26925954],[-19.44916404],[6.26883071]
[174.5520825],[-20.18639171],[6.70711246]
[173.82768131],[-19.23139228],[6.56160541]
