[-176.95219631],[16.00990348],[3.95744524]
[-178.52117385],[18.12873024],[4.0912422]
[-176.88265722],[20.9202143],[3.83990636]
[-176.6373501],[25.03348548],[3.81981636]
[-178.17218158],[23.81008058],[3.91753913]
[-177.52326538],[23.44690593],[4.35184532]
[-177.055644],[22.30168183],[3.31711295]
[-176.63409074],[24.57482655],[3.61499208]
[-175.75976042],[24.82557291],[2.98068893]
[-175.87859179],[20.41356589],[3.32023521]
[-176.26369795],[25.02101063],[2.81731355]
[-176.94308213],[24.67570619],[2.34613114]
[-176.10196025],[26.05139462],[1.82107743]
[-175.44270201],[23.74826713],[2.3699993]
[-175.20091883],[21.72625449],[2.08240517]
[-175.41273414],[21.82201888],[2.23462413]
[-175.07489298],[19.8923182],[1.95777684]
[-174.47306449],[19.10127511],[1.2349395]
[-171.37330236],[19.38325435],[-0.09711624]
[-173.1758053],[15.13584288],[-1.24378268]
[-172.60001889],[9.52859506],[-1.94429395]
[-169.42371315],[7.37693208],[-3.12897457]
[-173.05611301],[-0.28085659],[-4.82438049]
[-172.21445246],[-5.31083726],[-5.99721269]
[-171.18135655],[-5.56179748],[-8.01900739]
[-171.20806029],[-9.69191153],[-10.42320319]
[-171.72553975],[-15.03745593],[-11.83869924]
[-170.52091112],[-16.10293152],[-14.73753024]
[-169.29690169],[-20.36641334],[-19.26730711]
[-169.17111118],[-16.92950118],[-19.96927716]
[-165.46261355],[-21.22531484],[-22.45153256]
[-166.46666569],[-22.79818248],[-24.01067685]
[-164.47604926],[-24.37927595],[-25.22898484]
[-161.46539561],[-23.65702153],[-25.96007332]
[-162.48670073],[-18.40653008],[-21.97035324]
[-164.8492885],[-16.04718551],[-22.25798262]
[-163.60022721],[-16.58954539],[-25.69762875]
[-165.70559987],[-19.98757353],[-21.87594492]
[-166.80016645],[-18.96624727],[-21.80422098]
[-169.56588984],[-21.48752201],[-25.28340466]
[-168.79344912],[-26.1558145],[-24.92824688]
[-167.27440945],[-26.12426249],[-25.02896146]
[-169.60286861],[-24.491388],[-24.55461456]
[-164.6267373],[-27.71852427],[-26.35909725]
[-166.38434231],[-25.5592027],[-26.70947949]
[-169.25990087],[-26.46061861],[-26.89945578]
[-165.83889416],[-25.69308779],[-27.21397521]
[-165.80296967],[-27.02228628],[-27.41521969]
[-168.7846119],[-26.07220339],[-26.74227106]
[-165.91916088],[-28.0136977],[-27.28723998]
[-169.38992668],[-23.52249416],[-23.85603714]
[-167.83275776],[-32.81977969],[-28.22147071]
[-167.53993121],[-31.15353234],[-28.26983814]
[-168.3147814],[-31.83546561],[-28.94442308]
[-165.95688688],[-32.54794636],[-29.51041153]
[-166.88383782],[-28.80668477],[-28.70409348]
[-167.34491507],[-28.82502849],[-29.35714032]
[-168.10978084],[-29.48855847],[-28.4301024]
[-166.46691808],[-30.07637285],[-29.56643555]
[-167.78512087],[-27.30099596],[-28.06974926]
[-167.8890725],[-29.39533338],[-28.53517605]
[-165.43737937],[-26.01808424],[-29.64891148]
[-168.23097906],[-31.83458875],[-28.55845301]
[-170.89837777],[-28.04636527],[-23.7649008]
[-167.71585433],[-25.7897546],[-25.17690482]
[-165.17607507],[-24.79157672],[-25.23107337]
[-166.44965955],[-26.18019005],[-26.75416947]
[-168.39650342],[-25.33290212],[-26.24736884]
[-166.43308146],[-27.30369094],[-28.36334524]
[-163.92994909],[-26.92575597],[-27.81378383]
[-164.893725],[-27.64099181],[-27.6309516]
[-169.59296502],[-23.16673973],[-23.0566081]
[-163.2392612],[-21.96841105],[-28.35582401]
[-170.90389527],[-21.56926716],[-25.77133647]
[-167.65054153],[-21.26719931],[-26.09911415]
[-168.26044739],[-17.58847265],[-26.37181719]
[-171.06594914],[-18.84145812],[-24.93353818]
[-172.02136966],[-18.08401565],[-24.60416645]
[-159.40918136],[-35.72354914],[150.20892235]
[-169.89683474],[-17.06269975],[-24.55054773]
[-175.14858609],[-18.42406086],[-22.61694635]
[-176.41998304],[-24.69468784],[-19.71774817]
[-179.55037534],[-25.61651659],[-14.44248932]
[-174.80507409],[-26.17086099],[-20.94821479]
[-171.88654154],[-17.99303556],[-22.9268375]
[-168.78133331],[-15.74942699],[-24.65109496]
[-166.78821118],[-15.00892199],[-25.34954665]
[-169.73099962],[-13.52363376],[-23.79820631]
[-173.18303415],[-22.43726939],[-23.95970417]
[-174.86402374],[-17.29607514],[-24.8651855]
[-171.81903413],[-15.44060276],[-25.8663192]
[-170.97947284],[-14.29824661],[-25.41982242]
[-173.30924395],[-14.99387695],[-25.33866856]
[-174.42571837],[-10.49251709],[-25.70615725]
[-174.13327013],[-13.2567253],[-25.22976834]
[-172.80910811],[-15.18121757],[-24.23004975]
[-172.9444266],[-16.13074075],[-23.7337929]
[-175.70148146],[-17.65863461],[-23.80851164]
[-173.52924148],[-17.09603035],[-22.84506533]
[-174.26338859],[-22.21579712],[-14.56590084]
[-178.60760814],[-22.8966125],[2.29208139]
[-176.1731662],[-24.48511547],[-10.68185232]
[-172.66992981],[-17.52777891],[-22.86864725]
[-174.01296375],[-17.17469903],[-22.29596621]
[-175.30434221],[-20.21048348],[-21.65523948]
[-175.74864946],[-19.73619479],[-22.35616179]
[-175.33950482],[-20.62276723],[-22.02141819]
[-176.56604785],[-16.79401747],[-22.47405204]
[-178.58485185],[-14.72530738],[-22.37278672]
[-179.20323299],[-16.66525108],[-22.7235129]
[-178.9582668],[-13.05312701],[-22.46509118]
[-178.70627856],[-14.35025279],[-22.10368094]
[-177.75013014],[-7.67425668],[-22.22654878]
[179.82476598],[-5.91866856],[-22.52624585]
[-179.74802573],[-5.74780183],[-22.90756249]
[179.41548076],[-5.34215102],[-23.64417701]
[177.84685391],[-8.04069518],[-23.0851484]
[179.68700384],[-9.32541935],[-20.37796953]
[179.81924987],[-6.9219876],[-20.88540219]
[-179.97951311],[-2.26790177],[-19.84615179]
[179.65236244],[-0.22701331],[-21.15112615]
[177.09792426],[-4.03478496],[-16.65625895]
[176.93580477],[2.96283662],[-18.60556486]
[166.27646624],[-6.29063567],[-9.71907065]
[162.83196778],[-10.59783231],[-1.99816676]
[164.58703555],[1.80346637],[-9.95767784]
[-177.07602996],[4.27490249],[-24.89106276]
[179.60501669],[-1.00586692],[-26.99975568]
[179.0243038],[-1.13749631],[-27.91403996]
[179.24375605],[-4.97470429],[-26.35024183]
[177.54773931],[-8.66626896],[-26.52499164]
[177.77957767],[-11.00388257],[-26.63390153]
[178.8788465],[-13.53301952],[-26.00374437]
[178.8184684],[-15.6202827],[-24.63632243]
[175.52681611],[-13.90012967],[-24.29120385]
[176.93106206],[-17.34802537],[-22.74532562]
[175.79599195],[-18.33620842],[-22.21381822]
[177.32445134],[-8.39814488],[-21.6750233]
[179.519863],[-7.85844384],[-21.12092233]
[177.66434311],[-11.88158986],[-20.55100029]
[178.11509063],[-6.32396792],[-19.67285625]
[176.77238126],[-11.05531633],[-18.6611174]
[178.92281687],[-8.35255592],[-18.6440414]
[179.5888391],[-5.76491039],[-17.6667614]
[179.67998167],[-7.62579923],[-16.09608703]
[178.41010756],[-8.19238671],[-16.38907155]
[176.74482433],[-4.15751458],[-15.88989669]
[177.73357572],[-4.31649817],[-15.61171309]
[177.15830766],[-5.79232309],[-15.00306741]
[177.28730292],[-4.57266105],[-13.82797186]
[178.8201932],[-3.94062434],[-12.41672567]
[177.28144286],[-2.35398789],[-11.06586293]
[178.44907942],[-4.34695806],[-9.42653669]
[-179.94034179],[-3.76098871],[-8.29500934]
[179.47148099],[-2.39981393],[-7.58450016]
[-179.04485446],[-3.07836908],[-6.7403814]
[179.93712006],[-0.48163002],[-7.0927891]
[179.80959451],[-2.78382378],[-7.26588769]
[-178.01770511],[4.4624578],[-7.00572632]
[-177.78921692],[0.76920962],[-5.83976618]
[-177.53429936],[0.94080593],[-5.51788328]
[-176.92384947],[1.75591593],[-4.96399886]
[-177.00960742],[2.41579809],[-4.90883861]
