[178.66029443],[-22.23305501],[-3.92779235]
[177.95732247],[-20.28344007],[-4.73254966]
[179.31911383],[-23.31842848],[-4.26350693]
[178.28884836],[-21.82104369],[-4.82717754]
[178.53272467],[-23.32420009],[-4.1490902]
[178.53272467],[-23.32420009],[-4.1490902]
[178.45099849],[-20.39873769],[-3.73932213]
[-179.04493167],[-21.68471486],[-3.98528805]
[-177.85177969],[-23.55536319],[-4.11008502]
[179.96232091],[-22.81513349],[-4.01765726]
[177.20530078],[-19.59202856],[-3.39715837]
[178.948431],[-21.95394574],[-4.11853573]
[177.39260793],[-23.63046898],[-4.2986013]
[178.16674511],[-22.68850525],[-4.44591815]
[175.81886531],[-23.43933664],[-3.71380539]
[177.88740242],[-23.17112984],[-3.39552689]
[177.46305165],[-21.5197487],[-2.92040262]
[177.14812912],[-21.31307947],[-3.0027695]
[176.3401665],[-22.45470584],[-3.15040982]
[175.68866546],[-20.26366062],[-3.21409166]
[175.51222756],[-21.88183229],[-3.92570184]
[173.87747294],[-19.88779272],[-3.84695488]
[174.14059052],[-20.55306087],[-4.17008386]
[174.26793783],[-22.33176578],[-4.62602809]
[174.70195591],[-22.01481482],[-4.39899502]
[174.53052617],[-22.25875623],[-4.28676494]
[174.36193619],[-22.3675476],[-3.99745147]
[175.08939906],[-21.67197996],[-4.6304753]
[175.46750904],[-22.52688531],[-4.96315253]
[175.50580773],[-23.3045152],[-4.11493544]
[173.3134697],[-23.28349337],[-3.76320623]
[174.80404179],[-23.6008791],[-4.3010907]
[174.25944733],[-23.39771699],[-3.48442851]
[174.00309068],[-21.60374505],[-4.08747246]
[174.86065947],[-22.26873901],[-4.29916647]
[176.16493425],[-23.35445974],[-4.79855276]
[175.28405952],[-23.3052915],[-4.16983555]
[175.37412143],[-24.52304517],[-4.22186898]
[174.49078632],[-24.52077985],[-4.0211342]
[174.43875626],[-24.1449879],[-4.56055064]
[173.63338559],[-23.82341677],[-4.32145446]
[173.9896212],[-23.53576905],[-4.20932739]
[174.23650362],[-23.83843898],[-3.94624826]
[174.77908324],[-25.18617123],[-3.90950993]
[173.03974782],[-22.8704236],[-4.32082222]
[173.42092131],[-23.39157917],[-3.88800059]
[174.44165308],[-24.89351267],[-3.65938577]
[174.45931154],[-24.24857498],[-3.65808885]
[173.73525998],[-23.01864816],[-3.52222171]
[173.02433398],[-21.33872629],[-3.4558091]
[173.14267871],[-21.1980787],[-3.53514552]
[175.03976615],[-22.06088914],[-4.11007657]
[171.28228094],[-21.01107747],[-3.78969264]
[174.7741315],[-35.05080184],[173.19781747]
[171.8617927],[-21.33462497],[-4.37040732]
[175.31382116],[-24.02387451],[-3.36510251]
