[-165.07108777],[-12.70535044],[-5.93079284]
[-165.25350685],[-11.6918553],[-5.97228194]
[-166.33085778],[-10.79996603],[-6.10894521]
[-167.46277111],[-11.399454],[-6.36851094]
[-169.53073795],[-13.99129457],[-5.93177902]
[-169.1470777],[-14.08169609],[-5.84033559]
[-168.13075008],[-13.46055502],[-6.04235386]
[-168.23974346],[-15.72159278],[-6.28628992]
[-169.26174255],[-16.36835137],[-5.68208225]
[-168.95504245],[-20.15083771],[-5.10688148]
[-168.46624668],[-19.05337379],[-4.39061623]
[-169.92832357],[-18.39439961],[-6.81580246]
[-170.01990626],[-17.30807894],[-6.80123082]
[-170.84869129],[-14.98511378],[-7.06024577]
[-167.90882818],[-12.69516041],[-7.53296369]
[-168.30502993],[-12.28553789],[-7.98324184]
[-169.47088041],[-12.84437479],[-7.73081865]
[-167.475183],[-11.48213396],[-8.40110501]
[-169.1169076],[-13.58470769],[-8.2672371]
[-170.35410694],[-13.28163244],[-8.79708897]
[-169.29581946],[-12.12292404],[-9.58251668]
[-168.96524603],[-11.07676826],[-10.2562526]
[-168.96524603],[-11.07676826],[-10.2562526]
[-169.40906721],[-11.22087858],[-11.54975139]
[-170.21092815],[-11.55187196],[-11.24260083]
[-172.11505774],[-11.43533052],[-11.24718641]
[-171.91430229],[-10.87109556],[-11.72811002]
[-171.6230625],[-10.97470135],[-11.64224708]
[-171.40447815],[-10.9797977],[-11.50266141]
[-171.34629581],[-10.38706248],[-11.56569148]
[-172.82341066],[-9.70149262],[-11.93931456]
[-171.05965838],[-10.15360333],[-12.00589636]
[-172.84617955],[-10.33015782],[-11.8706385]
[-170.03637274],[-10.11360808],[-11.96807815]
[-170.03637274],[-10.11360808],[-11.96807815]
[-170.13019006],[-9.87942728],[-11.28925746]
[-171.79088244],[-9.91486255],[-11.61153028]
[-168.01949369],[-7.99984185],[-12.72086653]
[-169.37812501],[-9.02964676],[-11.77650769]
[-172.14790271],[-12.69247178],[-11.31475462]
[-168.82578328],[-10.81839697],[-11.48026142]
[-169.12217676],[-9.60917257],[-11.44946705]
[-168.83407778],[-10.72138719],[-11.47009626]
[-167.8345139],[-9.64707459],[-11.61134089]
[-169.39399387],[-11.07118976],[-11.07342608]
[-168.28735667],[-7.61629529],[-11.1188121]
[-168.24879702],[-7.97611691],[-10.53171416]
[-167.63848868],[-9.52944611],[-11.09823427]
[-167.10375318],[-9.22616644],[-11.47247471]
[-168.4322803],[-8.48633936],[-10.47701678]
[-168.81677978],[-9.20129248],[-11.63399595]
[-167.65234691],[-9.07198537],[-11.10357942]
[-167.45335303],[-7.73761957],[-10.91387875]
[-167.87696414],[-6.92200256],[-11.14270595]
[-167.89151191],[-9.18699826],[-10.27698018]
